Topic,Count,Name,Representation,Representative_Docs
83,228,83_docs_documentation_guide_architecture,"['docs', 'documentation', 'guide', 'architecture', 'doc', 'expand', 'quickstart', 'document', 'overview', 'started']","['add docs', 'add docs', 'add docs']"
84,226,84_formatting_text_format_prettier,"['formatting', 'text', 'format', 'prettier', 'textransformexample', 'formatted', 'formatter', 'formating', 'tiny', 'code']","['formatting the code', 'code formatting', 'code formatting']"
85,225,85_telegram_bot_makhin_persons,"['telegram', 'bot', 'makhin', 'persons', 'shared', 'person', 'telegramuserid', 'subscriptions', 'chore', 'ts']","['update telegram bot yml', 'fix build telegram bot', 'fix telegram bot build']"
86,225,86_jastrow_fini_ulf_desy,"['jastrow', 'fini', 'ulf', 'desy', 'signed', 'de', 'off', 'shellcheck', 'casks', 'by']","['doc fix typo signed off by fini jastrow ulf fini jastrow desy de', 'update changelog signed off by fini jastrow ulf fini jastrow desy de', 'update readme md signed off by fini jastrow ulf fini jastrow desy de']"
87,223,87_wire_binarywire_deltawire_textwire,"['wire', 'binarywire', 'deltawire', 'textwire', 'wires', 'chent', 'valuein', 'bytes', 'wireout', '33']","['update readme for wire', 'readme for wire', 'release wire']"
88,221,88_thread_threads_threading_closeable,"['thread', 'threads', 'threading', 'closeable', 'cleaningthreadlocal', 'resources', 'threadgroup', 'resource', 'closed', 'singlethreadedchecked']","['fix properly clear thread local thread name', 'refactor thread handling classes to the thread module', 'refactor thread handling classes to the thread module']"
89,221,89_ripgrep_printer_this_regex,"['ripgrep', 'printer', 'this', 'regex', 'flag', 'we', 'that', 'is', 'line', 'crate']","['binary rejigger ripgrep s handling of binary files this commit attempts to surface binary filtering in a slightly more user friendly way namely before ripgrep would silently stop searching a file if it detected a nul byte even if it had previously printed a match this can lead to the user quite reasonably assuming that there are no more matches since a partial search is fairly unintuitive ripgrep has this behavior by default because it really wants to not search binary files at all just like it doesn t search gitignored or hidden files with this commit if a match has already been printed and ripgrep detects a nul byte then it will print a warning message indicating that the search stopped prematurely moreover this commit adds a new flag binary which causes ripgrep to stop filtering binary files but in a way that still avoids dumping binary data into terminals that is the binary flag makes ripgrep behave more like grep s default behavior for files explicitly specified in a search e g then no binary filtering is applied just like no gitignore and no hidden file filtering is applied instead ripgrep behaves as if you gave the binary flag for all explicitly given files this was a fairly invasive change and potentially increases the ux complexity of ripgrep around binary files before there were two binary modes where as now there are three however ripgrep is now a bit louder with warning messages when binary file detection might otherwise be hiding potential matches so hopefully this is a net improvement finally the convenience now maps to since this is closer to the actualy intent of the flag i e to reduce ripgrep s smart filtering as a consequence should now search roughly the same number of bytes as and should search roughly the same number of bytes as the roughly weasel word is used because grep s and ripgrep s binary file detection might differ somewhat perhaps based on buffer sizes which can impact exactly what is and isn t searched see the numerous tests in tests binary rs for intended behavior fixes 306 fixes 855', 'update ripgrep', 'ripgrep 0 1 4']"
90,218,90_release_maven_plugin_prepare,"['release', 'maven', 'plugin', 'prepare', 'rollback', 'v3', 'util', 'v4', 'java', 'm50']","['maven release plugin prepare release 2 9 3', 'maven release plugin prepare release 2 4 4', 'maven release plugin prepare release 1 7 5']"
91,217,91_bug_fixing_bugs_solve,"['bug', 'fixing', 'bugs', 'solve', 'pep8', 'fix', 'aromatic', 'siege', 'inventory', 'issues']","['fix for bug', 'bug fixing', 'bug fixing']"
92,211,92_layout_work_pact_rebuild,"['layout', 'work', 'pact', 'rebuild', 'original', 'on', 'source', 'fontconfig', 'ci', 'layouts']","['work on layout', 'work on layout', 'work on layout']"
93,211,93_import_imports_imported_manimlib,"['import', 'imports', 'imported', 'manimlib', 'reorder', 'necessary', 'collections', 'missing', 'importing', 'importlib']","['fix import', 'fix import', 'fix import']"
94,211,94_layout_panel_sidebar_panels,"['layout', 'panel', 'sidebar', 'panels', 'nav', 'button', 'buttons', 'adjust', 'ipad', 'navbar']","['layout fix', 'fix layout', 'layout fix']"
95,209,95_svgextensions_cs_svgmodelextensions_svgmobject,"['svgextensions', 'cs', 'svgmodelextensions', 'svgmobject', 'pathing', 'svgattributes', 'svganchor', 'svgcolorprofile', 'svgelements', 'update']","['update svgextensions cs', 'update svgextensions cs', 'update svgextensions cs']"
96,207,96_props_base_various_avalonia,"['props', 'base', 'various', 'avalonia', 'changes', 'tooltabstripitem', 'update', 'desktop', 'axaml', 'dthompson']","['update base props', 'update base props', 'update base props']"
97,207,97_window_resize_resizing_borderless,"['window', 'resize', 'resizing', 'borderless', 'position', 'windows', 'size', 'canvas', 'dimensions', 'ui']","['fix window size issue', 'move logic for window size and position into window class', 'move window position logic into window']"
98,207,98_animations_scenes_fourier_preliminary,"['animations', 'scenes', 'fourier', 'preliminary', 'diffyq', 'video', 'hilbert', 'borsuk', 'ode', 'chapter']","['all preliminary animations for hilbert video', 'preliminary end to chapter 3 animations', 'final animations for fourier video']"
99,207,99_api_routes_apis_endpoints,"['api', 'routes', 'apis', 'endpoints', 'preview', 'routing', 'router', 'endpoint', 'subscription', 'url']","['fix api', 'fix api', 'add api']"
100,200,100_editor_hex_pattern_cursor,"['editor', 'hex', 'pattern', 'cursor', 'breakpoints', 'text', 'console', 'editing', 'the', 'was']","['ui ux rewrite of the entire hex editor view to make it more flexible 512 ui ux initial recreation of the hex editor view ui ux added back support for editing cells ux make scrolling and selecting bytes feel nice again ui ux improved byte selecting added footer sys make math evaluator more generic to support integer only calculations patterns moved value formatting into pattern language ui ux added goto and search popups improved selection ui added better tooltips for bookmarks and patterns sys use worse hex search algorithm on macos sadly it still doesn t support ui added back missing events menu items and shortcuts fix bookmark highlighting being rendered off by one fix various macos build errors fix size t is not u64 on macos fix std fmod and std pow not working with integer types on macos fix missing semicolons sys added proper integer pow function ui added back support for custom encodings fix editor not jumping to selection when selection gets changed ui turn hexii setting into a data visualizer sys added back remaining shortcuts sys remove old hex editor files sys moved more legacy things away from the hex editor view updated localization fix hex editor scrolling behaving weirdly and inconsistently sys cleaned up hex editor code sys added selection color setting localized all new settings fix search feature not working correctly ui replace custom imgui disabled function with native imgui ones ui fix bookmark tooltip rendering issues fix another size t not being 64 bit issue on macos', 'ui fixed hex editor selection frame', 'ui make pattern editor console use another text editor']"
101,199,101_metricshub_awk_pmd_awktestsupport,"['metricshub', 'awk', 'pmd', 'awktestsupport', 'jrt', 'awkparser', 'spotbugs', 'ei', 'avm', 'jawk']","['merge pull request 340 from metricshub codex add java annotations for awk function handling add javadoc for extension metadata helpers', 'merge pull request 208 from metricshub codex update documentation for jawk execution improve docs for new awk helpers', 'merge pull request 188 from metricshub codex fix bugs in awk class fix spotbugs issue in awk']"
102,198,102_epi_antoniojbt_plot_testthat,"['epi', 'antoniojbt', 'plot', 'testthat', 'stats', 'dates', 'copilot', 'excel', 'grob', 'plotting']","['update r epi plot dates r co authored by copilot copilot users noreply github com', 'update r epi plot dates r co authored by copilot copilot users noreply github com', 'merge pull request 133 from antoniojbt codex design epi plot dates api and tests codex design epi plot dates api and tests']"
103,196,103_color_colors_colorscheme_colormap,"['color', 'colors', 'colorscheme', 'colormap', 'coloring', 'picker', 'grey', 'rgba', 'rgb', 'hex']","['change color', 'color change', 'color change']"
104,195,104_readme_updated_ead_reamde,"['readme', 'updated', 'ead', 'reamde', 'paypal', 'accidentially', 'ps1', 'pushed', 'donation', 'regarding']","['updated readme', 'updated readme', 'updated readme']"
105,194,105_reverts_revert_commit_this,"['reverts', 'revert', 'commit', 'this', 'my', 'btw', 'xamarinformsdemo', 'syncing', 'machines', 'previous']","['revert files this reverts commit', 'revert improve remove this reverts commit', 'revert this reverts commit']"
106,194,106_land_game_work_use,"['land', 'game', 'work', 'use', 'on', 'goods', 'public', 'app', 'script', '']","['work on land use game', 'work on land use game', 'work on land use game']"
107,191,107_jdk_java_jvm_java9,"['jdk', 'java', 'jvm', 'java9', 'jlbh', '402', '21', '11', 'util', '17']","['patch for jdk 9', 'added test for list of support in jdk 1 8', 'performance optimizations jdk 1 7 for source code and target jvm']"
108,186,108_float_decimalnumber_decimal_floats,"['float', 'decimalnumber', 'decimal', 'floats', 'rounding', 'decimals', 'zeros', 'int', 'floating', 'division']","['pass as a float and not a string', 'added a float to string function', 'added float as a type']"
109,184,109_refactoring_refactors_refactorings_refactor,"['refactoring', 'refactors', 'refactorings', 'refactor', 'small', 'overhaul', 'out', 'major', 'massive', 'refactored']","['refactoring', 'refactoring', 'refactoring']"
110,183,110_map_newmap_maps_mapping,"['map', 'newmap', 'maps', 'mapping', 'unordered', 'gen', 'preset', 'mapgen', 'transport', 'xmap']","['added map type', 'work on map', 'work on map']"
111,181,111_npmrc_nvm_unset_incompatible,"['npmrc', 'nvm', 'unset', 'incompatible', 'home', 'your', 'setting', 'has', 'run', 'user']","['your user s npmrc file home npmrc has a and or a setting which are incompatible with nvm run to unset it fix template parsing error', 'your user s npmrc file home npmrc has a and or a setting which are incompatible with nvm run to unset it add release workflow', 'your user s npmrc file home npmrc has a and or a setting which are incompatible with nvm run to unset it merge main']"
112,179,112_type_generic_generics_types,"['type', 'generic', 'generics', 'types', 'typings', 'typeutilities', 'juggling', 'genericreflection', 'typing', 'prefix']","['fix type', 'fix type', 'fix type']"
113,177,113_string_strings_substrings_substring,"['string', 'strings', 'substrings', 'substring', 'tostring', 'libs', 'udate', 'aflat', 'fromstring', 'unisolated']","['string build', 'fix string', 'string update']"
114,176,114_resume_components_readability_component,"['resume', 'components', 'readability', 'component', 'experience', 'formatting', 'linkedin', 'enhanced', 'improved', 'across']","['refactor enhance code readability and formatting across resume components improved formatting and indentation in the resume table columns export utils personal info form and various template components for better clarity streamlined multiline parameters and component properties to enhance maintainability and consistency in the codebase ensured uniformity in the usage of the getfullname function across multiple templates for consistent name display', 'style enhance code formatting and readability in resume template components', 'refactor improve code formatting and readability across components cleaned up whitespace and standardized formatting in resume builder root layout index and resume edit components for better readability enhanced multiline parameter formatting for improved clarity and maintainability streamlined jsx structure in various components to ensure consistent styling and layout']"
115,176,115_serialization_deserialization_serializing_deserialize,"['serialization', 'deserialization', 'serializing', 'deserialize', 'deserializing', 'serializer', 'serializable', 'marshallable', 'serializers', 'serialize']","['string serialization', 'fix serialization issues', 'serialization']"
116,175,116_loganrdj_scroll_resume_nav,"['loganrdj', 'scroll', 'resume', 'nav', 'timeline', 'homepage', 'snap', 'background', 'page', 'hover']","['merge pull request 83 from loganrdj codex update button scroll behavior on resume page add horizontal scroll behavior to resume toggle buttons', 'merge pull request 104 from loganrdj codex fix snap scrolling on home page improve anchor scroll handling', 'merge pull request 65 from loganrdj codex fix resume page experience scaling on scroll fix resume card scaling on scroll']"
117,172,117_siddhi_adding_improving_fixing,"['siddhi', 'adding', 'improving', 'fixing', 'events', 'committing', 'userattributes', 'query', 'site', 'counting']","['improve siddhi docs', 'improve siddhi docs', 'improve siddhi docs']"
118,171,118_timer_timeout_util_delay,"['timer', 'timeout', 'util', 'delay', 'timeouts', 'timed', 'timers', 'terminal', 'time', 'bar']","['util change timer bar regex tests to use test each', 'util document change to timer bar regex helper', 'util document timer bar format']"
119,168,119_svgfilterskextensions_cs_svgfilterskutil_skia,"['svgfilterskextensions', 'cs', 'svgfilterskutil', 'skia', 'csproj', 'avalonia', 'isvgrenderer', 'unittests', 'svg', 'update']","['update svgfilterskextensions cs', 'update svgfilterskextensions cs', 'update svgfilterskextensions cs']"
120,168,120_arran4_waybar_hyprland_chezmoi,"['arran4', 'waybar', 'hyprland', 'chezmoi', 'alacritty', 'codex', 'discovery', 'pager', 'bin', 'shell']","['merge pull request 43 from arran4 codex fix github release branch tag testing on pr fix ci branch handling', 'merge pull request 119 from arran4 codex review waybar config and style files add waybar configs', 'merge pull request 170 from arran4 codex fix alacritty and waybar configuration formatting fix configuration formatting']"
121,166,121_debug_debugging_info_overlay,"['debug', 'debugging', 'info', 'overlay', 'more', 'debugger', 'breakpoint', 'additional', 'm1', 'handlers']","['add debug code', 'add debug code', 'added debug']"
122,165,122_former_id_commit_asd,"['former', 'id', 'commit', 'asd', 'reafactor', 'labirynth', 'constructible', 'eols', 'gooby', 'hudson']","['former commit id former commit id', 'former commit id former commit id', 'former commit id former commit id']"
123,162,123_chore_nx_tasks_ios,"['chore', 'nx', 'tasks', 'ios', 'pin', 'storybook', 'status', 'mark', 'prettier', 'macos']","['chore format', 'chore format', 'chore add ci']"
124,161,124_mod_mods_softmod_history,"['mod', 'mods', 'softmod', 'history', 'excerpthistory', 'sync', 'download', 'modpack', 'inject', 'show']","['mod update command', 'add mod command', 'add mod']"
125,161,125_analytics_imagedrawable_fragmentdrawable_various,"['analytics', 'imagedrawable', 'fragmentdrawable', 'various', 'work', 'layout', 'maskdrawable', 'cs', 'on', 'goals']","['work on analytics', 'work on analytics', 'work on analytics']"
126,160,126_vim_neovim_nvim_lua,"['vim', 'neovim', 'nvim', 'lua', 'dotfiles', 'vimrc', 'fzf', 'keymap', 'alexanderjeurissen', 'config']","['cleanup vim files', 'vim changes', 'add vim']"
127,160,127_javadoc_javadocs_userguide_rawtypes,"['javadoc', 'javadocs', 'userguide', 'rawtypes', 'tidy', 'scopeconfined', 'mkdocsgithubpagesdeploymojo', '202307', 'appender', 'minor']","['javadoc', 'javadoc', 'javadoc']"
128,160,128_header_headers_pages_page,"['header', 'headers', 'pages', 'page', 'heading', 'normalize', 'toc', 'reseting', 'headings', 'prerender']","['added header', 'added header', 'fix header']"
129,158,129_draw_drawio_electron_desktop,"['draw', 'drawio', 'electron', 'desktop', 'jgraph', 'io', 'updates', 'corrects', 'upgraded', 'builder']","['updated draw', 'updated draw', 'updated to electron 7 drawio 12 1 4']"
130,157,130_enum_enums_enumset_dynamic,"['enum', 'enums', 'enumset', 'dynamic', 'uniform', 'enumsets', 'serializing', 'dynamicenum', 'improved', 'enumcache']","['added enum to import', 'update enum test for new default', '22 implement enums 24 parse enums gen enum use enums']"
131,157,131_pom_xml_snapshot_versions,"['pom', 'xml', 'snapshot', 'versions', 'olmo', 'artifactid', 'roll', 'updated', 'poms', 'groupid']","['updated pom xml', 'updated pom xml', 'updated pom xml to 4 3 0']"
132,153,132_zsh_zshrc_completion_zprofile,"['zsh', 'zshrc', 'completion', 'zprofile', 'alexanderjeurissen', 'zing', 'zod', 'zshenv', 'dot', 'azul']","['update zsh config', 'add zsh config', 'add zsh type']"
133,152,133_animation_animations_animationgroup_keyframes,"['animation', 'animations', 'animationgroup', 'keyframes', 'succession', 'keyframe', 'continualanimation', 'animate', 'laggedstart', 'animating']","['animation update config animation update rate info', 'cleanup animation', 'remove prepare for animation']"
134,152,134_analyzer_rjmurillo_moq_diagnostic,"['analyzer', 'rjmurillo', 'moq', 'diagnostic', 'copilot', 'analyzers', 'tips', 'coding', 'swe', 'users']","['feat update metadata for eventsetuphandlershouldmatcheventtypeanalyzer 675 this pr updates the metadata for the to improve diagnostic messaging and categorization changes made updated diagnosticdescriptor message changed from static text to a format string that includes the event name description moved the original message to the description field category changed from to to better reflect the nature of the diagnostic enhanced diagnostic reporting modified the analyzer to pass the event name through the method chain and include it in diagnostic messages implementation details updated method signatures to pass event name extract event name from during semantic analysis updated to document the category change impact these changes improve the developer experience by providing more specific diagnostic messages that clearly identify which event is causing the type mismatch the category change to usage better reflects that this diagnostic relates to api usage patterns rather than core moq functionality note this analyzer detects moq specific semantic issues that pass c compiler validation but are incorrect for event handler assignment most type mismatches cause compiler errors cs0029 before the analyzer runs making this diagnostic rare but more informative when it occurs fixes 651 start copilot coding tips you can make copilot smarter by setting up custom instructions customizing its development environment and configuring context protocol mcp servers learn more copilot coding tips tips in the docs co authored by copilot swe bot copilot users noreply github com co authored by rjmurillo rjmurillo users noreply github com co authored by richard murillo rjmurillo gmail com', 'feat update metadata for linqtomocksexpressionshouldbevalidanalyzer 688 this pr updates the diagnostic metadata for the to improve clarity and consistency with other analyzers in the codebase changes made diagnostic descriptor updates category changed from to to align with other similar analyzers message updated to a more concise format description added explicit description field with the previous message content enhanced expression reporting the analyzer now passes the full expression syntax e g to the diagnostic instead of just the member name this provides better context for developers when viewing diagnostics before after release tracking updated to properly track the category change from to for rule testing all existing tests continue to pass confirming backward compatibility is maintained while improving the diagnostic experience fixes 652 start copilot coding tips you can make copilot smarter by setting up custom instructions customizing its development environment and configuring context protocol mcp servers learn more copilot coding tips tips in the docs co authored by copilot swe bot copilot users noreply github com co authored by rjmurillo rjmurillo users noreply github com co authored by richard murillo rjmurillo gmail com', 'feat update setupshouldbeusedonlyforoverridablemembersanalyzer metadata 686 updates the moq1200 to improve diagnostic metadata and message formatting as requested in the parent issue changes made diagnosticdescriptor updates category changed from to for better categorization message updated to format string to include the specific member name description added with the original message text diagnostic reporting updated the method to pass the member name as an argument to the diagnostic enabling the formatted message release notes updated to document the category change from moq to usage before vs after before after the analyzer now provides more specific and actionable diagnostic messages while maintaining all existing functionality all 78 existing tests continue to pass ensuring backward compatibility fixes 665 start copilot coding tips you can make copilot smarter by setting up custom instructions customizing its development environment and configuring context protocol mcp servers learn more copilot coding tips tips in the docs co authored by copilot swe bot copilot users noreply github com co authored by rjmurillo rjmurillo users noreply github com co authored by richard murillo rjmurillo gmail com']"
135,152,135_scroll_scrolling_zoom_patron,"['scroll', 'scrolling', 'zoom', 'patron', 'scrollbar', 'endless', 'scrollable', 'touch', 'sensitivity', 'mouse']","['implement scroll', 'work on scroll', 'fix for scroll']"
136,150,136_tutorial_add_177_306,"['tutorial', 'add', '177', '306', '6361', 'hapipal', '6969', 'devinivy', 'turtle', 'thirteen']","['add tutorial 5', 'add tutorial 9', 'add tutorial 3']"
137,150,137_typo_patch_grammar_spelling,"['typo', 'patch', 'grammar', 'spelling', 'typos', 'brandonawan', 'pull', 'request', 'alexislefebvre', 'merge']","['merge pull request 47 from brandonawan typo fixes grammar fixes prompts adversarial md', 'merge pull request 587 from abhishekchak52 typo grammar fix typo and grammar fix', 'merge pull request 18 from f2011b codex fix typo in readme md fix readme typo']"
138,150,138_scripts_script_bin_subdirectory,"['scripts', 'script', 'bin', 'subdirectory', 'subfolder', 'move', 'neatened', 'phabricator', 'hsandbox', 'cheatsheet']","['docs scripts', 'scripts docs', 'scripts docs']"
139,150,139_null_nullable_handle_pointer,"['null', 'nullable', 'handle', 'pointer', 'nullptr', 'false', 'isempty', 'notimplementednode', 'def', 'value']","['check for null', 'check for null', 'use is null']"
140,149,140_cubemap_ray_shadow_light,"['cubemap', 'ray', 'shadow', 'light', 'irradiance', 'raytracing', 'anirul', 'tracing', 'tracer', 'cube']","['cleanup remove unused shadow mapping code remove legacy shadow mapping infrastructure that s no longer needed after implementing ray traced shadows this includes shadow map texture methods from light interface and opengl light classes shadow mapping constructors from nodelight shadow texture fields from protobuf definition branching logic in scene parsing for shadow vs non shadow lights the ray traced shadow implementation remains fully functional generated with claude code code co authored by claude noreply com', 'align ray tracing scene with shadow example', 'merge pull request 125 from anirul codex standardize interface between shadow and raytracing align ray tracing example with shadow scene structure']"
141,149,141_release_chronicle_prepare_plugin,"['release', 'chronicle', 'prepare', 'plugin', 'maven', 'wire', 'threads', '25ea4', '23ea23', '23ea22']","['maven release plugin prepare release chronicle threads 2 27ea0', 'maven release plugin prepare release chronicle threads 2 25ea0', 'maven release plugin prepare release chronicle threads 2 27ea2']"
142,147,142_typescript_tsconfig_ts_jest,"['typescript', 'tsconfig', 'ts', 'jest', 'babel', '27', 'collections', 'rewrite', 'chore', 'lib']","['add typescript build setup', 'add typescript setup', 'batch change config to typescript']"
143,146,143_drag_drop_dragging_preview,"['drag', 'drop', 'dragging', 'preview', 'danwalmsley', 'draggable', 'window', 'tab', 'offset', 'wieslawsoltes']","['remove drag and drop code', 'add drag and drop support', 'fix drag offset and add window drag tests']"
144,146,144_mobject_submobjects_mobjects_submobject,"['mobject', 'submobjects', 'mobjects', 'submobject', 'family', 'become', 'points', 'updaters', 'get', 'align']","['add point mobject', 'default mobject to mobject buffer default mobject to mobject buff and likewise default mobject to mobject buffer default mobject to mobject buff', 'bug fix to mobject align family and mobject add n more submobjects']"
145,146,145_04_alpha_2019_2021,"['04', 'alpha', '2019', '2021', '2020', 'bump', 'minor', 'minios', 'version', 'update']","['update 2021 04 04', 'update 2021 04 04', 'update 2019 04 04']"
146,145,146_wieslawsoltes_dock_danwalmsley_docking,"['wieslawsoltes', 'dock', 'danwalmsley', 'docking', 'dockable', 'floating', 'tab', 'dockproperties', 'bandysc', 'adorner']","['merge pull request 556 from wieslawsoltes codex implement recursive proportional dock search fix global docking to find proportional dock', 'merge pull request 446 from wieslawsoltes codex fix panel docking issue fix pinned dock orientation doc', 'merge pull request 1 from danwalmsley feature dock target wip feature dock target']"
147,144,147_cleanup_clean_up_housecleaning,"['cleanup', 'clean', 'up', 'housecleaning', 'cleaner', 'checkhours', 'cleaning', 'matters', 'dispose', 'random']","['cleanup', 'cleanup', 'cleanup']"
148,144,148_eoc_eola_chapter_finished,"['eoc', 'eola', 'chapter', 'finished', 'eop', 'efvgt', 'beginning', 'zeta', 'eoc10', 'eoc5']","['beginning eola chapter 1', 'beginning eola chapter 3', 'beginning eoc chapter 2']"
149,143,149_updated_create_action_lfi,"['updated', 'create', 'action', 'lfi', 'combined', 'directories', 'etc', 'txt', 'packages', 'md']","['github action updated lfi etc files of all linux packages txt', 'github action updated lfi etc files of all linux packages txt', 'github action updated lfi etc files of all linux packages txt']"
150,141,150_sorting_sort_order_alphabetical,"['sorting', 'sort', 'order', 'alphabetical', 'snapadded', 'rearrange', 'sorted', 'ordering', 'categories', 'dateaddedonsnap']","['sorting fix', 'fix sorting', 'fixes table sort order']"
151,141,151_blalterman_plan_plans_checklist,"['blalterman', 'plan', 'plans', 'checklist', '2025', '08', 'combined', 'solar', '07', '04']","['merge pull request 189 from blalterman codex 2025 08 04 t 16 38 03 update header in combined test plan docs plans refine headers for solar activity templates', 'merge pull request 167 from blalterman codex 2025 08 04 t 00 09 35 convert plan documentation to github checklist docs plans add checklist to documentation plan', 'merge pull request 150 from blalterman codex 2025 08 03 t 18 05 15 merge test plan and checklist files docs testing add combined solar activity test plan']"
152,141,152_v1_v2_v4_v0,"['v1', 'v2', 'v4', 'v0', 'beta', '800', 'v01', 'create', '22', '18']","['v1 0 1', 'v1 2 1', 'v1 3 0']"
153,139,153_fixes_various_minor_small,"['fixes', 'various', 'minor', 'small', 'bug', 'touchups', 'fixesfixes', 'mionr', 'katex', 'vol']","['various small fixes', 'various bug fixes', 'various minor fixes']"
154,139,154_minor_filtereffects_svgmodelextensions_svgextensions,"['minor', 'filtereffects', 'svgmodelextensions', 'svgextensions', 'cs', 'fix', 'factory', 'selectorobject', 'minified', 'edit']","['minor fix', 'minor fix', 'minor fix']"
155,139,155_shefben_chat_bot_chatgpt,"['shefben', 'chat', 'bot', 'chatgpt', 'bots', 'chatbot', 'markov', 'waypoint', 'explainerbot', 'chatwire']","['merge pull request 12 from shefben codex store and update bot performance metrics add dynamic bot skill metrics', 'merge pull request 44 from shefben codex extend config parser for custom chat lines add trait and chat file support to bot config', 'merge pull request 3 from shefben codex enhance player message context in chat improved chat context for markov bot responses']"
156,138,156_gang_equipment_member_ascension,"['gang', 'equipment', 'member', 'ascension', 'members', 'crime', 'manage', 'boss', 'script', 'buying']","['gang add a check for whether we re in a gang', 'gang start writing a new gang management script', 'gang create a new names module that all gang management scripts use']"
157,138,157_npm_node_npms_nodejs,"['npm', 'node', 'npms', 'nodejs', 'upgrade', 'ci', 'chore', 'all2', 'js', 'workflow']","['add npm', 'npm update', 'update npm']"
158,137,158_style_styles_css_elementstyles,"['style', 'styles', 'css', 'elementstyles', 'styling', 'design', 'stylistic', 'xaml', 'aesthetic', 'tweaks']","['fix for styles', 'style fix', 'style fix']"
159,137,159_chronx_chronology_pipelines_azure,"['chronx', 'chronology', 'pipelines', 'azure', '19', 'log4j', 'logback', 'yml', 'client', 'slf4j']","['chronx 19 chronology', 'chronx 19 chronology', 'chronx 19 chronology']"
160,136,160_makhin_frontend_shared_codex,"['makhin', 'frontend', 'shared', 'codex', 'backend', 'serilog', 'rtk', 'msw', 'stabilize', 'health']","['merge pull request 587 from makhin codex check frontend build fix frontend resolve shared alias for build', 'merge pull request 17 from makhin codex add unit tests to frontend project add vitest unit tests for frontend', 'merge pull request 15 from makhin codex fix frontend project bugs fix frontend build']"
161,135,161_master_into_branch_codecrafters,"['master', 'into', 'branch', 'codecrafters', 'swisskyrepo', 'io', 'merge', 'sequelize', 'suho', 'labmlai']","['merge branch master into master', 'merge branch master into master', 'merge branch master into master']"
162,134,162_readme_rst_51_update,"['readme', 'rst', '51', 'update', 'quiz', 'ffmpeg', 'berkecanrizai', 'i195172151b022b3e3aadf192324c41a820f6d4f5', 'upadate', 'instal']","['update readme', 'update readme', 'update readme']"
163,134,163_filter_filters_filtering_362,"['filter', 'filters', 'filtering', '362', 'getlevels', 'filterdata', 'boxes', 'filterop', 'filtermapboard', 'working']","['add filter support', 'fix for filter', 'add filter']"
164,134,164_injection_sql_mysql_sqlite,"['injection', 'sql', 'mysql', 'sqlite', 'postgresql', 'mssql', 'sqli', 'injections', 'cassandra', 'rce']","['sql injection mysql version for error based', 'add sql injection test', 'update sql injection']"
165,133,165_fontpatcher_zip_releasing_ci,"['fontpatcher', 'zip', 'releasing', 'ci', 'working', 'git', 'out', 'issues', 'maven', 'update']","['ci update fontpatcher zip', 'ci update fontpatcher zip', 'ci update fontpatcher zip']"
166,132,166_04_papers_2022_2024,"['04', 'papers', '2022', '2024', '2023', '2025', 'en', 'mdx', 'update', '16']","['update 2025 04 04', 'update 2024 04 04', 'update 2022 04 04']"
167,132,167_stroke_flat_width_shader,"['stroke', 'flat', 'width', 'shader', 'arrow', 'drawborderthenfill', 'fill', 'default', 'arrows', 'geom']","['change default to non flat stroke', 'change default stroke color', 'allow for setting flat stroke in vmobject set stroke']"
168,132,168_template_templates_tmp_mustache,"['template', 'templates', 'tmp', 'mustache', 'invoice', 'eex', 'expression', 'mainpanel', 'app', 'favorites']","['template update', 'template', 'template']"
169,131,169_changelog_updates_v0_v2,"['changelog', 'updates', 'v0', 'v2', 'v1', 'release', 'unreleased', 'section', 'next', '14']","['changelog 0 5 1', 'changelog 0 2 6', 'changelog 0 3 0']"
170,131,170_ulthran_blog_pcmp_static,"['ulthran', 'blog', 'pcmp', 'static', 'terraform', 'content', 'page', 'post', 'sports', 'spotify']","['merge pull request 184 from ulthran codex improve blog code formatting improve blog code formatting', 'merge pull request 130 from ulthran add static content fix broken project links', 'merge pull request 58 from ulthran add static content add static content']"
171,130,171_validation_validator_dsl_validate,"['validation', 'validator', 'dsl', 'validate', 'validators', 'validations', 'fluentvalidation', 'util', 'addons', 'middleware']","['validation', 'validation', 'validation']"
172,129,172_maven_apache_dependabot_org,"['maven', 'apache', 'dependabot', 'org', 'io', 'plugins', 'bump', 'plugin', 'siddhi', 'surefire']","['merge pull request 50 from sentrysoftware dependabot maven org apache maven plugins maven compiler plugin 3 12 0 bump org apache maven plugins maven compiler plugin from 3 11 0 to 3 12 0', 'merge pull request 1099 from siddhi io dependabot maven org apache maven plugins maven dependency plugin 3 1 1 bump maven dependency plugin from 2 10 to 3 1 1', 'merge pull request 1069 from siddhi io dependabot maven org apache maven plugins maven plugin plugin 3 6 0 bump maven plugin plugin from 3 4 to 3 6 0']"
173,129,173_icon_icons_favicon_aoi,"['icon', 'icons', 'favicon', 'aoi', 'appimage', 'themed', 'android', 'scaled', 'confessions', 'asm']","['add icon', 'add icon', 'add icon']"
174,128,174_unused_remove_dead_code,"['unused', 'remove', 'dead', 'code', 'old', 'removed', 'method', 'mwc', 'stock', 'unnecessary']","['remove unused code', 'remove unused code', 'remove unused code']"
